product_A;affected_product_B;price_A;afected_margin_B
6;5;1;0.29
6;5;2;8.19
6;5;3;-3.55
5;1;1;8.44
5;1;2;13.99
5;1;3;-18.86
5;1;4;-5.93
1;3;1;-11.45
1;3;2;-8.79
1;3;3;14.48
1;3;4;-18.39
3;1;1;-1.92
3;1;2;-18.18
3;1;3;11.01
3;1;4;-14.86
3;1;5;1.52
3;2;1;2.54
3;2;2;-17.98
3;2;3;-10.83
3;2;4;2.94
3;2;5;-4.21
2;4;1;10.82
2;4;2;1.57
2;4;3;-9.26
2;4;4;19.13
5;6;1;-4.9
5;6;2;11.9
5;6;3;4.78
5;6;4;-0.76
2;6;1;2.91
2;6;2;-4.57
2;6;3;-0.69
2;6;4;-18.17
6;4;1;19.89
6;4;2;-14.1
6;4;3;-14.51
1;5;1;5.78
1;5;2;12.19
1;5;3;-12.27
1;5;4;-8.72
5;4;1;-12.49
5;4;2;15.6
5;4;3;3.48
5;4;4;1.64
4;5;1;3.64
4;5;2;-12.62
4;5;3;-4.77
4;5;4;-1.02
4;5;5;9.44
1;2;1;-14.21
1;2;2;7.52
1;2;3;-19.12
1;2;4;-12.68
1;4;1;-18.25
1;4;2;18.22
1;4;3;9.43
1;4;4;-10.19
2;3;1;6.78
2;3;2;9.86
2;3;3;-10.6
2;3;4;13.59
3;4;1;3.08
3;4;2;-15.98
3;4;3;-5.62
3;4;4;-8.79
3;4;5;14.56
